3PARA RAT
4H RAT
AADInternals
ABK
AbstractEmu
ACAD/Medre.A
AcidRain
Action RAT
adbupd
AdFind
Adups
ADVSTORESHELL
Agent Smith
Agent Tesla
Agent.btz
AhRat
Akira
Allwinner
Amadey
Anchor
Android/AdDisplay.Ashas
Android/Chuli.A
AndroidOS/MalLocker.B
ANDROIDOS_ANSERVER.A
ANDROMEDA
AndroRAT
Anubis
AppleJeus
AppleSeed
Aria-body
Arp
Asacub
ASPXSpy
Astaroth
AsyncRAT
at
Attor
AuditCred
AuTo Stealer
AutoIt backdoor
Avaddon
Avenger
AvosLocker
Azorult
Babuk
BabyShark
BackConfig
Backdoor.Oldrea
BACKSPACE
Bad Rabbit
BADCALL
BADFLICK
BADHATCH
BADNEWS
BadPatch
Bandook
Bankshot
Bazar
BBK
BBSRAT
BendyBear
BISCUIT
Bisonal
BitPaymer
BITSAdmin
Black Basta
BlackCat
BLACKCOFFEE
BlackEnergy
BlackMould
BLINDINGCAN
BloodHound
BLUELIGHT
Bonadan
BONDUPDATER
BoomBox
BOOSTWRITE
BOOTRASH
BOULDSPY
BoxCaon
BrainTest
BRATA
Brave Prince
Bread
Briba
Brute Ratel C4
BS2005
BUBBLEWRAP
build_downer
Bumblebee
Bundlore
BUSHWALK
BusyGasper
Cachedump
CaddyWiper
Cadelspy
CALENDAR
Calisto
CallMe
Cannon
Carbanak
Carberp
Carbon
CarbonSteal
Cardinal RAT
CARROTBALL
CARROTBAT
Catchamas
Caterpillar WebShell
CCBkdr
ccf32
Cerberus
certutil
Chaes
Chameleon
Chaos
Charger
CharmPower
ChChes
Cheerscrypt
CHEMISTGAMES
Cherry Picker
China Chopper
Chinoxy
CHOPSTICK
Chrommme
Circles
Clambling
Clop
CloudDuke
cmd
jRAT
COATHANGER
Cobalt Strike
Cobian RAT
CoinTicker
Comnie
ComRAT
Concipit1248
Conficker
ConnectWise
Conti
CookieMiner
CORALDECK
CORESHELL
Corona Updates
CosmicDuke
CostaBricks
CozyCar
CrackMapExec
CreepyDrive
CreepySnail
Crimson
CrossRAT
Crutch
Cryptoistic
CSPY Downloader
Cuba
Cyclops Blink
Dacls
DanBot
DarkComet
DarkGate
DarkTortilla
JSS Loader
DarkWatchman
Daserf
DCSrv
DDKONG
DEADEYE
DealersChoice
DEATHRANSOM
DEFENSOR ID
Dendroid
Denis
Derusbi
Desert Scorpion
Diavol
Dipsind
Disco
DnsSystem
DOGCALL
Dok
Doki
Donut
DoubleAgent
down_new
Downdelph
DownPaper
DRATzarus
DressCode
Dridex
Drinik
DroidJack
DropBook
Drovorub
dsquery
Dtrack
DualToy
Duqu
DustySky
Dvmap
Dyre
Ebury
ECCENTRICBANDWAGON
Ecipekac
Egregor
EKANS
Elise
ELMER
Emissary
Emotet
Empire
EnvyScout
Epic
Escobar
esentutl
eSurv
EventBot
EvilBunny
EvilGrab
EVILNUM
Exaramel for Linux
Exaramel for Windows
Exobot
Exodus
Expand
Explosive
Fakecalls
FakeM
FakeSpy
FALLCHILL
FatDuke
Felismus
FELIXROOT
Ferocious
Fgdump
Final1stspy
FinFisher
FIVEHANDS
Flagpro
Flame
FLASHFLOOD
FlawedAmmyy
FlawedGrace
FlexiSpy
FLIPSIDE
FlixOnline
FluBot
FlyTrap
FoggyWeb
Forfiles
FRAMESTING
FrameworkPOS
FrozenCell
FruitFly
ftp
FunnyDream
FYAnti
Fysbis
Gazer
Gelsemium
GeminiDuke
Get2
gh0st RAT
Ginp
GLASSTOKEN
GLOOXMAIL
Gold Dragon
Golden Cup
GoldenEagle
GoldenSpy
GoldFinder
GoldMax
GolfSpy
Gooligan
Goopy
GPlayed
Grandoreiro
GravityRAT
Green Lambert
GreyEnergy
GRIFFON
GrimAgent
gsecdump
GuLoader
Gustuff
H1N1
Hacking Team UEFI Rootkit
HALFBAKED
HAMMERTOSS
Hancitor
HAPPYWORK
HARDRAIN
Havij
HAWKBALL
hcdLoader
HDoor
HELLOKITTY
Helminth
HenBox
HermeticWiper
HermeticWizard
Heyoka Backdoor
Hi-Zor
HiddenWasp
HIDEDRV
Hikit
HilalRAT
Hildegard
HOMEFRY
HOPLIGHT
Hornbill
HotCroissant
HTRAN
HTTPBrowser
httpclient
HUI Loader
HummingBad
HummingWhale
Hydraq
HyperBro
HyperStack
IceApple
IcedID
ifconfig
iKitten
Imminent Monitor
Impacket
INCONTROLLER
Industroyer
Industroyer2
InnaputRAT
INSOMNIA
InvisiMole
Invoke-PSImage
ipconfig
IronNetInjector
ISMInjector
Ixeshe
Janicab
Javali
JCry
JHUHUGIT
JPIN
Judy
KARAE
Kasidet
Kazuar
Kerrdown
Kessel
Kevin
KeyBoy
Keydnap
KEYMARBLE
KEYPLUG
KeyRaider
KGH_SPY
KillDisk
Kinsing
Kivars
Koadic
Kobalos
KOCTOPUS
Komplex
KOMPROGO
KONNI
KOPILUWAK
Kwampirs
LaZagne
LightNeuron
LIGHTWIRE
Linfo
Linux Rabbit
LiteDuke
LitePower
LITTLELAMB.WOOLTEA
Lizar
LockerGoga
LoFiSe
LoJax
Lokibot
LookBack
LoudMiner
LOWBALL
Lslsass
Lucifer
Lurid
Machete
MacMa
macOS.OSAMiner
MacSpy
Mafalda
MailSniper
Mandrake
Marcher
MarkiRAT
Matryoshka
MazarBOT
Maze
MCMD
MechaFlounder
meek
MegaCortex
Melcoz
MESSAGETAP
metaMain
Metamorfo
Meteor
Micropsia
Milan
Mimikatz
MimiPenguin
Miner-C
MiniDuke
MirageFox
Mis-Type
Misdat
Mispadu
Mivast
MobileOrder
MoleNet
Mongall
Monokle
MoonWind
More_eggs
Mori
Mosquito
MURKYTOP
Mythic
Naid
NanHaiShu
NanoCore
NativeZone
NavRAT
NBTscan
nbtstat
NDiskMonitor
